OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	0.029002	0.053696	0.024694	str	G4	395.258
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.2795	6.3405	0.060952	NOTE	C5	522.783
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.3405	6.445	0.10449	NOTE	B4	487.539
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.445	6.548	0.10304	NOTE	D5	580.618
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.548	6.6569	0.10884	NOTE	A4	436.981
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.6569	6.8383	0.18141	br	BREATH	0
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.8383	6.8789	0.040635	ct	C5	511.51
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.8789	6.979	0.10014	NOTE	A4	439.402
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	6.979	7.085	0.10594	NOTE	A4	439.236
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.085	7.2577	0.1727	NOTE	A4	434.778
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.2577	7.3752	0.11755	NOTE	B4	485.458
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.3752	7.4638	0.088526	NOTE	A4	438.737
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.4638	7.5523	0.088549	NOTE	D5	582.1
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.5523	7.6481	0.09576	NOTE	E5	659.305
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.6481	7.6945	0.04644	NOTE	G5	794.081
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.6945	7.828	0.13351	NOTE	F#5	725.868
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.828	7.9398	0.11175	NOTE	D5	579.233
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	7.9398	8.0631	0.12336	NOTE	E5	664.224
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.0631	8.1081	0.044989	NOTE	F#5	761.76
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.1081	8.2112	0.10304	NOTE	F#5	731.148
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.2112	8.3722	0.16109	NOTE	D5	585.394
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.3722	8.4724	0.10014	NOTE	A4	441.205
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.4724	8.5275	0.055147	ct	B5	979.453
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.5275	8.632	0.10449	NOTE	A5	874.326
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.632	8.7263	0.094331	NOTE	G5	783.066
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.7263	8.7655	0.039184	shake	F#5	754.004
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.7655	8.8105	0.044989	shake	A5	839.363
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.8105	8.9078	0.097234	NOTE	F#5	732.246
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	8.9078	9.0384	0.13061	NOTE	F#5	733.524
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.0384	9.0892	0.050794	ct	B5	982.572
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.0892	9.1951	0.10594	NOTE	A5	875.471
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.1951	9.3068	0.11175	NOTE	F#5	740.576
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.3068	9.4128	0.10594	NOTE	G5	774.498
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.4128	9.5782	0.16544	br	BREATH	0
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.5782	9.7219	0.14367	NOTE	B5	980.703
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.7219	9.8366	0.11465	NOTE	A5	893.397
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.8366	9.8844	0.047891	ct	B5	987.834
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.8844	9.9904	0.10594	NOTE	A5	880.829
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	9.9904	10.1123	0.1219	NOTE	F#5	746.116
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.1123	10.2777	0.16544	NOTE	E5	670.478
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.2777	10.4054	0.12771	NOTE	F#5	731.682
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.4054	10.5593	0.15383	NOTE	D5	583.031
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.5593	10.6522	0.09288	NOTE	B4	485.946
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.6522	10.7334	0.08127	ct	C5	538.566
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.7334	10.8132	0.079819	NOTE	B4	488.043
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.8132	10.9279	0.11465	NOTE	A4	438.135
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	10.9279	11.0788	0.15093	NOTE	F#5	733.132
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.0788	11.1964	0.11755	NOTE	A5	867.907
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.1964	11.266	0.06966	ct	B5	989.753
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.266	11.3807	0.11465	NOTE	A5	871.969
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.3807	11.491	0.11029	NOTE	F#5	741.638
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.491	11.6492	0.15819	NOTE	G5	780.774
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.6492	11.7653	0.1161	NOTE	A5	878.313
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.7653	11.9162	0.15093	NOTE	B5	984.26
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	11.9162	12.025	0.10884	NOTE	A5	889.557
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.025	12.0932	0.068209	ct	B5	1013.87
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.0932	12.1774	0.084172	NOTE	A5	884.65
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.1774	12.295	0.11755	NOTE	F#5	740.691
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.295	12.4314	0.13642	NOTE	E5	667.833
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.4314	12.4691	0.037732	ct	F#5	701.814
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.4691	12.6012	0.13206	NOTE	E5	660.69
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	12.6012	13.0104	0.40925	NOTE	D5	579.326
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.0104	13.1527	0.14222	vr	D5	579.378
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.1527	13.2833	0.13061	NOTE	F#5	725.624
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.2833	13.395	0.11175	NOTE	A5	875.194
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.395	13.4618	0.066757	ct	B5	994.525
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.4618	13.5822	0.12045	NOTE	A5	870.944
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.5822	13.6867	0.10449	NOTE	F#5	745.333
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.6867	13.7752	0.088526	NOTE	G5	787.189
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.7752	13.961	0.18576	br	BREATH	0
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	13.961	14.1177	0.15673	NOTE	B5	987.657
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.1177	14.2266	0.10884	NOTE	A5	889.664
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.2266	14.2919	0.065306	ct	B5	971.854
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.2919	14.3891	0.097234	NOTE	A5	881.587
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.3891	14.5052	0.1161	NOTE	G5	790.77
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.5052	14.6678	0.16254	NOTE	F#5	734.569
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.6678	14.8085	0.14077	NOTE	G5	778.027
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.8085	14.9464	0.13787	NOTE	E5	662.892
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	14.9464	15.0843	0.13787	NOTE	B4	488.322
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.0843	15.1278	0.043537	ct	C5	528.516
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.1278	15.2047	0.076916	NOTE	B4	490.727
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.2047	15.3513	0.14658	NOTE	D5	580
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.3513	15.4703	0.119	NOTE	A4	441.075
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.4703	15.6198	0.14948	br	BREATH	0
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.6198	15.6735	0.053696	ct	B4	505.698
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.6735	15.733	0.059501	NOTE	A4	432.585
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.733	15.8824	0.14948	NOTE	A4	434.382
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	15.8824	16.0522	0.1698	NOTE	A4	432.374
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.0522	16.1829	0.13061	NOTE	B4	484.396
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.1829	16.3207	0.13787	NOTE	D5	573
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.3207	16.4876	0.16689	NOTE	E5	655
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.4876	16.6255	0.13787	NOTE	F#5	723.383
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.6255	16.7387	0.1132	NOTE	D5	582.896
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.7387	16.8562	0.11755	NOTE	E5	659.689
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.8562	16.8983	0.042086	ct	G5	765.878
OGr_CnocBui_Tk2Tu1R3_TheFishermansLilt.txt	16.8983	17.0304	0.13206	NOTE	F#5	718
